Дата видачі кредиту,№ договору,Сумма кредиту,Загальна заборгованість,Сімейний стан,Стать,Наявність утриманців,Область реєстрації,Сектор діяльності,Строк кредиту,Кількість днів прострочення,Наявність простроченної заборгованості понад 30 днів ,Рейтинговий бал зовнішній,Статус,results Kasianova,results Chernenko,result Lzkhovetskyi
10/3/2020,704,120 000,120 000,14,88,0,Б,60.40,12,1,0,43800,1,0,27%,0
10/4/2020,708,80 000,76 667,14,88,1,А,69.21,24,0,0,71800,1,0,8%,0
10/8/2020,715,80 000,80 000,14,99,2,Н,59.42,24,0,0,78000,1,0,3%,0
10/8/2020,717,120 000,120 000,11,99,2,Б,60.82,24,0,0,50800,1,0,15%,0
10/10/2020,725,80 000,80 000,14,88,0,Б,60.30,18,0,0,52000,1,0,16%,0
10/14/2020,730,80 000,80 000,11,99,3,Р,44.13,24,0,0,52800,1,0,10%,0
10/15/2020,734,120 000,120 000,14,88,1,О,60.30,18,0,0,50600,1,0,15%,0
10/21/2020,738,80 000,80 000,11,99,0,Є,60.53,12,0,0,70000,1,0,16%,0
10/22/2020,745,170 000,170 000,14,88,0,Б,60.88,12,0,0,58400,1,0,16%,0
10/28/2020,752,120 000,120 000,11,88,0,Є,59.84,24,0,0,43200,1,0,33%,0
10/29/2020,755,50 000,50 000,14,99,0,В,69.21,18,0,0,50200,1,0,23%,1
10/30/2020,756,230 000,230 000,14,99,0,А,62.52,24,0,0,81800,1,0,4%,0
